"연번","CCTV NO.","CCTV명","도로명 주소","지번 주소","","",""
"344","청담-123","선릉로190길 주변","도산대로101길 29 ","청담동 127-31","","",""
"345","청담-124","청담2치안센터 주변","삼성로 761 ","청담동 8","","",""
"346","청담-125","한국마사회강남지사 주변","도산대로 529","청담동 125-17 ","","",""
"347","청담-126","더청담 주변","도산대로 434","청담동 4 ","","",""
"348","청담-127","청담자이아파트 주변","영동대로138길 12","청담동 134-38 ","","",""
"349","청담-128","청담삼익11동앞 주변","학동로 609 ","청담동134-18","","",""
"350","청담-129","청담현대2차아파트 주변","선릉로 748 ","청담동 21-17","","",""
"351","청담-130","청담빌라 주변","압구정로72길 20","청담동 95","","",""
"352","청담-131","이니그마빌 주변","압구정로62길 17-4","청담동 94","","",""
"353","청담-132","유경빌딩 주변","학동로81길 7","청담동 76-11","","",""
"354","청담-133","피엔폴루스뒷길 주변","도산대로 442 ","청담동 4-1","","",""
"355","청담-134","청담매스터빌 주변","도산대로81길 69","청담동 141-1","","",""
"356","청담-135","승원빌딩 주변","도산대로57길 8 ","청담동 91","","",""
"357","청담-136","아트인빌딩 주변","도산대로94길 20","청담동 57-2","","",""
"358","청담-137","새벽별비전센터 주변","삼성로149길 25","청담동 13-1","","",""
"359","청담-138","청담공원 주변","","청담동 66","","",""
"360","청담-139","한신오페라하우스2차아파트 주변","학동로 63길 14 ","","","",""
"361","청담-140","청담빌딩 주변","도산대로 524","청담동 52","","",""
"362","청담-141","디아트주상복합 주변","압구정로79길 32","청담동 124-11","","",""
"363","청담-142","청담현대아파트 104동 주변","도산대로101길 29","청담동 127-31","","",""
"364","청담-143","호텔엔트라 주변","도산대로 508","청담동 48-3","","",""
"365","청담-144","청담2차이편한세상아파트 202동 주변","도산대로70길 25","청담동 14","","",""
"366","청담-145","청담초 정문 주변","압구정로71길 9","청담동 142","","",""
"367","청담-146","언북초등학교정문  건너편 주변","학동로63길 13 ","청담동 36-8","","",""
"368","청담-148","청담자이아파트 101동 주변","영동대로 138길 12","청담동 134-38","","",""
"369","청담-149","청담삼성아파트 정문 주변","삼성로133길 20","청담동 33","","",""
"370","청담-150","언북초등학교 후문 주변","삼성로135길 42","청담동 27","","",""
"371","청담-151","청담영풍마드레빌아파트 주변","학동로63길 13","청담동 36-8","","",""
"","","","","","","",""
